name,bio
Abyssal Wisp,"Staring intently at a Wisp allows one to see the moment of their own death for
a few seconds. Whether they are truly fate or just the mast likely future, these
visions can be deadly on their own, often provoking heart attacks.

The Abyssal Wisp usually dwells in dark marine environments. Its eyes not
only allow it to see in the dark, but they can also move freely within its body,
allowing it a full range of vision.
"
Accursed Pit Worm,"When the Valkyrie army approached the walls of Omnia, Sigmund thought it
was bait, meant to prevent his ships from attacking the bulk of the Unification
forces.

Anyone exposed to the aura of an Accursed Pit Worm will have horrible
nightmares and night terrors for one night. Their first appearance precedes the
establishment of the first kingdoms, and it is believed that their origin is related
to the Pit Worms that arrive in the Torture Chamber by mistake, tortured and
modified by Tartarith.
"
Accursed Warhog,"In the past, the Asura used Warhogs as frontline troops in their countless
battles.

An orc Mage came up with the brilliant idea of repurposing Warhog corpses for
battle. However, Accursed Warhogs have no interest in fighting, and need to be
thoroughly trained by giving them truffles, and only truffles, as a reward.
"
Ace Luckmantria,"The various ecosystems of Hutika are home to creatures like the Luckmantrias,
found nowhere else in the world. However, nature always finds a way — or a
Uralos who wanted to make some easy money loses sight of a box full of eggs
for a few seconds in one of the worst neighborhoods of Neralim.

Ace Luckmantrias can perfectly camouflage themselves in the fall, which is
why they sleep for a quarter of the year without needing to feed, so they can be
awake at all times during the other seasons.
"
Acedia Sin,"Thanks to the research that was done at the Refuge of the Magi, Zonte's team
discovered that there are other ways of creating these beings.

When the Acedia Sin is attacked, the feathers on its hands shine with a faint
blue glow, producing an unbearable drowsiness that severely weakens its
enemies. Idlers are its preferred target, and if it finds them asleep, it will place
its feathers on top of their bodies so that they never wake up again.
"
Acrova,"The mountains north of the kingdom of Ercath are infested with these
creatures. The cold and dry climate, the large population of pines and the
scarcity of predators for the Acrova are the biggest reasons. Indeed, these
creatures eat wood, and they don't need much to satisfy their hunger. If they
are in danger, they emit a scream inaudible to the human ear. Immediately, all
the Acrovas in the vicinity gather at that point to face the threat.
"
Adaxial,"Adaxial is Alexandria's right hand, in charge of creating Clockworks and
ensuring Damarel's machinery works properly. Alexandria spent forty years
designing and building this creature, and he is very proud of the result. Unlike
Clockworks, the sound of the gears turning inside Adaxial is imperceptible to
human ears. Adaxial is so attuned to the God of Falsity's realm that it can
detect any problems in its machinery in a sixty mile radius.
"
Addled Leper,"There is a rare disease in Rodia that only affects humans. It was first
discovered in Taylor's time. In its early stages, the disease manifests as painful
sores on the skin of the limbs.

The Addled Leper can sometimes be seen standing still, with its eyes fixed on
something. It could be a book, a meadow, or the full moon. For a few
moments, these sights bring back memories to its mind, and they remember
who they were.
"
Aegis Angel,"This is the ultimate Angel, the last defense against the darkness that almost
devoured the world thousands of years ago. However, it was not the only one.
Erebyss and Surathli joined forces to create an army of them for the purpose of
protecting the light. There were hundreds, but it was not enough. The darkness
attacked by surprise, too soon, and no God could help her. Everyone arrived
too late, save one, who stayed to watch as his plans were fulfilled.
"
Aen Rift Dancer,"Rift Dancers are believed to be from another world, having ended up in ours as
a result of an abuse of magic. Although they do not need to eat, they are
sometimes seen in abandoned temples, enveloping magical items with their
bodies.

Aen Rift Dancers often gather in hills far from the cities during clear nights, and
remain under the stars for hours, emitting a soft murmur as if they yearned for
their light.
"
Aeolian,"The God of Wind is the most devoted protector of nature. Like many other
Gods, he can see what is happening anywhere without being physically
present, but Aeolian enjoys traveling and rarely stays in the same place for
long. He often flies over the Unsullied Meadows, sometimes in the company of
Dragons, with one eye always on the grass and trees that extend into his realm
as far as the eye can see.
"
Aerum Rift Dancer,"Some people believe the existence of Rift Dancers is linked to the Gods' role in
the creation of this world, but the legendary Mage Milner, originally from
Vanelin, disproved this claim by finding a correlation between the number of
Rift Dancer appearances and the bloodiest battles in the Unification War.

Aerum Rift Dancers appear mostly in high mountains, looking for strong air
currents with which to travel from one peak to another, perhaps yearning for
some peculiarity of their place of origin.
"
Agor Apocalypse,"Vulcanar put a lot of effort into making the Apocalypses look imposing and
terrifying, hoping the Watchers would flee when they saw them. Although that
never happened, their help was invaluable during the war, as they were able to
attack several creatures at once and attract attention to themselves, thanks to
their size and appearance. They allowed the inhabitants of towns and cities to
escape to a safe place.
"
Ahnkol Tremor,"Nobody thought that unleashing magic without control could affect the world.
First was the Watcher War. The consequences of that event gave life to the
battlefield, to the land itself. To the Tremors.

The tentacles of an Ahnkol Tremor can extend up to sixteen feet away. During
battle, it uses them to entangle the arms of its enemies and stop their attacks.
"
Ahnok Tremor,"The body of a Tremor is home to numerous creatures, mainly insects. Birds
are commonly seen pecking at a Tremor in search of its guests.

The Ahnok Tremor can effortlessly move earth and rock with its mind. In battle,
it uses this power to create hands and tentacles that cling to the arms and legs
of its enemies and trap them. They often create stone walls in forests and
mountains to protect the animals from poachers.
"
Aja Birku,"Aja Birku, otherwise known by Radian scholars as The Puzzle Box, is one of
the few creatures that still perplexes even the most devoted of artificers.
According to legend, Aja Birku is the key to visiting parallel dimensions, as it
mysteriously appeared during the Watcher War. Seven centuries ago,
Helmholtz, a prestigious Mage, succeeded in extracting its core, a crystalline
stone he called the Crystal Eye. However, before he could uncover its secrets,
the city of Nex was besieged by Omnia's forces. The attack failed, but what
was their real goal? That night, the Crystal Eye was lost forever.
"
Akara,"This being is fascinated by the creatures that inhabit Rodia and the rest of the
world. Chances are, if it meets a stranger, it will want to have a long
conversation and bombard them with questions. The life of non-intelligent
animals is especially interesting to it and currently it is dedicated to traveling
through the different ecosystems outside the Land of Breath and Balance,
contemplating the varied and abundant wildlife that proliferates there. Unlike
Ariamaki, it does not care about balance and is of the opinion that this God
should take a break from his endless crusade.
"
Alakadan,"Alakadan is the eternal companion of Yllor, and both of them have guarded the
gates to the Refuge of the Magi side by side since its construction. When the
city of Vanelin was besieged in a conflict, they fought together with the Red Hat
order against the army of Siralim. The kingdom of Vanelin fell in the end, but
Alakadan and Yllor managed to escape and return to Zonte, only to discover
that their home had also been taken over by the ruler of Siralim. When Yllor
learned of this, Alakadan had to paralyze him with the poison of his sting to
prevent him from attacking without first assessing his possibilities. After
convincing him that his plan, or lack thereof, was suicide, they agreed to split
up to ask for help in liberating the different kingdoms and realms from the
tyranny of the invaders.
"
Alcazar,"AA Bastion that gives shelter to a person with royal blood becomes an Alcazar,
even if that person was an illegitimate child. This was discovered in the years
after the unification of Rodia by a famous scientist from a noble family who
studied Bastions for a long time. After several weeks of research, he went
inside a Bastion and the transformation happened. He replicated his
experiment seven times before formulating his hypothesis, although he did not
know whether this phenomenon can be triggered in other ways.
"
Alexandria,"Damarel is a realm full of steam-powered machinery that works with pinpoint
precision. Alexandria spends most of his time thinking about how to improve it
and ensuring it does not fail, but now that his realm has become accessible, his
focus is on outsiders. He is generally hostile to visitors, but if any of them help
protect his home, he wilk gladly reward their actions. The God of Falsity is
extremely literal, unable to understand metaphors or sarcasm. Indeed, talking
to him can be very dangerous unless words are measured correctly.
"
Alluring Snaptrap,"Years before weighing anchor at Rodia, the legendary pirate Willian James and
his crew managed to find an island of which only a few rumors existed. Eferia,
the indomitable jungle, inhabited by a single intelligent species, the Ak'haruts,
to which one of the Auditors’ agents, known as The Lost, belongs.

The substance released by the Alluring Snaptrap is extremely dangerous, as
the brain interprets its smell as that of something familiar, such as food or the
trace of a relative. Initially, it reproduced the scent of its victims’ favorite food,
but the adaptability arms race between predator and prey has brought them to
a point where Eferia's fauna follows the trail of any pleasant smell with much
caution, and Alluring Snaptraps hide among vegetation.
"
Amaranthine,"In the beginning, there were eleven. They shaped the world and created
everything that exists. Or, at least, that is what they believed. A blinding flash
illuminated the velvet of the night. Were the stars falling from the sky?

Despite the Amaranthine's disturbing appearance, it is as peaceful as the other
Amaranths, and it spends most of its time simply observing the landscape. If
attacked, this creature floats in the air and spins frantically to protect itself.
"
Amethyst Paragon,"Helmholtz discovered that the gem in the crown of a Paragon is the focus of its
aura, and their body loses all color if it is removed. However, the gem itself has
no power unless it is placed on their foreheads. After Helmholtz's fight with
Sigmund, the Amethyst Paragon asked him for its freedom, and he refused.
However, when the Unicorn Firewalker caught him by surprise and ended his
life, this creature managed to escape before Milner arrived to revive him with
her Undolim Seraph.
"
Amorphous Shambler,"William James and his crew visited hidden and forgotten places on the high
seas. Deep in the Boreal Ocean, where he and his people were cursed, he
discovered creatures who could not die. The waters were riddled with
amorphous beings capable of levitating in their unlife. At first, some of the
captain's crew thought they might be edible, but their rotten stench was
warning enough not to. Sea Shamblers are not aggressive creatures by nature,
but when the captain's ships sailed over shoals of these creatures, many were
hit hard, causing a fight in which no member of the crew lost their life.
"
Amphisbaena Arbitrator,"In the heyday of Omnian civilization, the capital's Institute of Magical Research,
under Sigmund's orders, brought to life extraordinary creatures named
Amphisbaena to improve the quality of life of the kingdom's inhabitants.

Some Amphisbaena were born with an innate ability to resolve conflicts. Their
greatest purpose is believed to have been to serve the kingdom for diplomatic
purposes, but there is no evidence to confirm this theory. Many became
psychologists at schools, large companies, unions or in their own offices.
However, the best known and most beloved of their community were the
Amphisbaena Arbitrators, thanks to their flawless performance and tireless fight
for their rights.
"
Amphisbaena Chef,"Amphisbaenas are creatures who can perform specific tasks flawlessly. They
are normally gentle, kind, and charming, and try to solve problems through
dialogue, keeping in mind other people's arguments and points of view.

Some Amphisbaenas were literally born to cook. They just need to test the
ingredients separately to know if combining them is a good idea. Today, this
knowledge is available to everyone, thanks to the numerous cookbooks that
have been published based on their discoveries.
"
Amphisbaena Gardener,"The Amphisbaenas' arrival was not welcomed by everyone in Omnia, as many
of them risked losing their jobs. One would think the Pilwiz would have felt
threatened as well, but this was never the case. In fact, Sigmund, aware of
what would happen if he tried to integrate these creatures into agricultural
activities, asked them to dedicate their efforts to other tasks. It was not until the
fall of Omnia that the Amphisbaena began to work the fields, but only in private
properties, or in regions the Pilwiz were unable to supply due to the distance or
weather conditions.
"
Amphisbaena Inspector,"Aiter a time, Amphisbaenas began to suffer persecution by the Omnians, who
sukjected them to extortion so they would abandon their work. It was not long
before the first corpse of an Amphisbaena appeared on the glass steps of the
capital, stabbed and bruised.

Some Amphisbaenas are highly insightful thanks to their analytical skills, and
they have become valuable assets in the security forces of Rodia's major cities.
But there are always exceptions. Following the fall of King Misery, a spike in
crime has occurred in much of the kingdom of Neralim, and authorities have
found that one of these creatures is at the head of the group responsible.
"
Amphisbaena Prospector,"The protests of the citizens of Omnia against the Amphisbaenas grew, and the
Amphisbaenas brought several unions to trial, accusing them of inciting crimes
against their species. Sigmund finally took sides, and decreed that continuing
the hunt of these creatures would be punished with exile to the Torture
Chamber, whatever the crime committed against them.

Amphisbaena Prospectors perform a wide variety of physical tasks, but they
are best known for mining inside the gigantic Nether Orb on which the capital of
Siralim was built, with the aim of extracting the raw material used to make Spell
Gems. Due to the power it contains, most creatures eventually become ill, but
Amphisbaenas are immune ta this influence thanks to their biology.
"
Amphisbaena Vaccinator,"Adter the fall of Omnia, the surviving Amphisbaenas scattered across the newly
founded country of Radia, trying to find a place in society. At first, they ran into
the same difficulties they had found in Omnia, but over the years their
presence was normalized. Today, these creatures are treated with respect and
equality, and measures for their protection are no longer necessary.

Amphisbaena Vaccinators can move any substance they ingest into an okject
with which they are in contact. In the case of vaccines, they can generate up to
ten additional doses of it after it has entered their body.
"
Ancestral Phoenix,"When they reach a certain age, Phoenixes can decide to burst into flames.
They emerge from the ashes as chicks that retain the memories of their
previous life.

The Ancestral Phoenix has direct control over the lives of other creatures. For a
brief moment, it can transfer its ability to resurrect through any of its spells.
Centuries ago, a famous Mage caught one of these creatures in an attempt to
resurrect her lover. However, its ability, like many others, only works for the
recently deceased.
"
Ancient Arachnalisk,"The Ancient Arachnalisk owes its name to the fact that it usually lives in ancient
temples and cities, forgotten places that have been uninhabited for centuries. It
knows every inch of its home and expertly plays with lights and shadows,
making its web undetectable for most. It is also able to pinpoint the precise
location of its prey and even assess its strength based on the intensity of the
pulls.
"
Ancient Automaton,"Two years ago, a group of explorers from Neralim found a set of unfinished
prototypes in the ruins of Omnia, in the basement of what used to be a
research center.

The Ancient Automaton is the mast faithful to the original design. Before
entering battle, it bangs its shield with its spear. If either of them break, it
produces a replacement, which comes out of its mouth in a matter of minutes.
"
Ancient Ent,"Human activity, especially during wars, has caused serious damage to the
world's forests. After the Forest Priests first appeared, some Magi realized that
magic could affect nature, and even allow them to use nature in their favor.
Thus, the first Nature Magi were born.

Ancient Ents are usually harmless, but they can be merciless when their forest
is threatened, especially by humans, whom they sometimes impale on the
branch of a tree as a warning to others.
"
Ancient Grimoire,"Although the Refuge of the Magi was the mast prestigious magic tower in the
time of the first kingdoms, there were others in which successful experiments
were carried out.

When the Ancient Grimoire spends a long time on its own, encased between
two books on a bookshelf, it starts singing. The melody of its voice attracts the
unwary, whose soul is separated from their body the moment they open it due
to the power it contains.
"
Ancient Spirit,"The existence of the Spirits is sukject to the use of magic and a series of
conditions that vary according to the subspecies. They are usually merciful
creatures who take care of any beings they encounter, but their lack of
intelligence can sometimes lead them to support evil causes.

When a Spirit has lived for five hundred years it becomes an Ancient Spirit.
Thanks to its experience, it has a vast knowledge of magic and many spells
that manifest spontaneously when someone tries to save an ally.
"
Ancient Yeti,"There is a legend in Sithicus about a gigantic Yeti that appeases the most
violent snowstorms, though some believe it is just a Winter Aspect, and that the
furious gales of snow are actually a product of the Ancient Yeti's will. While it is
true that it can channel the cold of the frozen mountains, its only concern
nowadays is to eliminate the ruler of Siralim to prevent its home from being
destroyed. As a precaution, it has decided to kill any Mage who crosses its path.
"
Andolin Seraph,"Seraphs were Surathli's gift to humanity for having managed to establish
kingdoms in which to live in peace and harmony after centuries of endless wars.

Despite its majestic appearance, the Andolin Seraph is a joker who likes to
make those around it laugh, although it sometimes goes too far with its antics.
It likes to play with its enemies, provoking them and then deftly dodging their
attacks to make them waste time.
"
Angel Bat,"This creature sleeps at night and goes hunting when the sunlight begins to
appear on the horizon. It usually inhabits cold places and migrates when the
warm season arrives, if the temperature is not low enough for snow, as they
sleep and nest in rocky crags covered with snow to hide from predators, only
sticking their heads out.
"
Angel Soulslayer,"The Angels were created by the deities of light at the time when humans were
taking their first steps in the world. They were the first warriors and fought
against a dark power that threatened all existence at the dawn of creation.

The Angel Soulslayer is able to snatch the soul of its opponent for a few
minutes, causing a feeling of emptiness and depersonalization that has led
many of its opponents to commit suicide.
"
Angelic Voidlord,"A long time ago, there was a woman whose ideas greatly influenced how
society would develop. In her youth, she met Dragan, a student of magic who
years later would become the mast prominent figure in the Refuge of the Magi.

The Angel Voidlord gives off an aura that attracts anyone nearby. Despite its
sinister appearance, many people do not take the necessary precautions when
approaching it, and the creature takes advantage of this to grab them tightly.
Unfortunately, anything that comes in contact with a Voidlord for over ten
seconds ceases to exist in an instant, without leaving a single atom behind.
"
Anguish Banshee,"Banshees are considered to be emissaries of death. Although they are seldom
seen, they sometimes appear near a dying person and emit a spectral scream.

Whenever a catastrophe occurs, the Anguish Banshee approaches the
traumatized survivors and places a hand on their hair to feed on their pain.
"
Animatus,"Rodia has definitely earned its reputation for being a country riddled with
curses. Mausoleums, mage towers, haunted forests, cursed weapons of all
kinds... Indeed, Sigmund even saw to it that there was a curse affecting the
entire country. Some years ago, the head of the department of Curses and
Counter-Curses of the Magic University of Siralim began to thoroughly study
Helmholtz's monograph on the creation of the Golems. After decades of
research, he found a way to build a devastating Golem using cursed items and
materials, extracted from different curse-laden places in Rodia. Replicating his
feat is not an easy task, but a Mage of great knowledge and talent has recently
succeeded. The Animatus can absorb and harness the strength of its allies and
become much more dangerous... at a price. Any creature affected by this
ability feels its own strength being taken away, as if part of their being had been
removed. Although the effect is temporary, many creatures who fight alongside
the Animatus start feeling disgusted by it, hating it, or even fearing its very
presence.
"
Anneltha,"A truly ancient being who has not been seen for milennia, precious little
knowledge has survived over the ages regarding Anneltha. Fragments of
ancient texts preserved in the libraries of Undolim, treated as unverified myth,
speak of a colossal worm Goddess who banished the sentient races of what is
now Radia from her realm for the crime of disrespecting the earth with their
greed. Only Aeolian has been known to speak of her, and then only reluctantly,
with noticeable sadness.

The recent machinations of Caliban have, however, unsealed her realm - and
Anneltha has not seen fit to re-seal it to outsiders once more. Few adventurers
have chanced the Forbidden Depths thus far, but reports of a crystalline hive
swarming with brutal monsters, as well as a few distant sightings of Anneltha
herself moving about the realm, suggest that these deep caves and their
inhabitants have not suffered for their isolation from the world.
"
Annihilator Fiend,"At first glance, Fiends seem to be frightening and clumsy creatures. However,
they can travel at great speeds with precise jumps. In the blink of an eye, a
Fiend that looked to be far away could be devouring its prey.

The presence of an Annihilator Fiend affects the minds of the creatures around
it, eliminating any sense of calm to replace it with anger or hostility. The more
agitated a creature is, the more susceptible it becomes to these effects.
"
Apis Adolescent,"The Apis Adolescent owes its name to its lack of horns. However, it is similar in
size to the other Apis, which begin to grow horns immediately after birth. In the
past, it was able to channel the power of other Apis to increase their power over
the weather and the soil's fertility, helping them change whatever they wished.
At present, these creatures can turn certain spells into an energy blast that
deals massive damage to whoever cast them.
"
Apis Charger,"The Apis lived in the kingdom of Kaito since its establishment thousands of
years ago. They were considered heralds of the sun and fertility, but there were
never any temples in their honor. Today, they are loyal creatures willing to give
their own lives to protect their allies. The Apis Charger is not skilled in magic,
but it wears traditional armor with which it rams its enemies, dealing
devastating damage at the cost of receiving injuries from the recoil.
"
Apis Defender,"The Apis walked freely through the streets of the cities and towns of Kaito.
People fed these creatures regularly, and they were cared for whenever they
became ill.

When the blue protrusion between the horns of an Apis Defender begins to
glow softly, the wounds its allies would receive are transferred to this creature.
For this reason, the Apis Defender is commonly seen accompanying armies
and gangs of raiders, who sometimes abuse its extraordinary ability until it dies.
"
Apis Endurer,"At first, the Apis were gentle creatures that would never harm a living being. If
they were in danger, their only coping strategy was escaping.

As the Apis Endurer gets hurt, its skin becomes more and more resilient until
even the strength of a Giant fails to damage it. For this reason, many warriors
raise these creatures from a young age so that they can ride them when they
reach maturity.
"
Apis Guardian,"When the Watchers invaded Kaito, the Sphinxes tried desperately to defend
the empire. Their last attempt to repel the attack involved modifying the Apis so
that they could add their strength to the battle.

It is believed that Guardians can perceive the evil intentions of other creatures
through their eye of providence. Some kings believed this myth and welcomed
those they should not, as their eye only perceives such intentions when they
involve immediate violence.
"
Apis Majesty,"The Sphinx Usurper ordered all of the Apis in the empire to gather together
while it explored the pyramids of the ancient pharaohs with its followers to
recover the orbs with which they had been buried.

In the past, the Apis Majesty could concentrate to divert the light and the heat
of the sun over a certain region. They lost this ability during the Watcher
invasion, but in return they are now able to concentrate their energy between
their horns to increase their power.
"
Apis Protector,"The Apis used to have magic powers that influenced weather and fertility.
However, the Sphinx Usurper and its closest associates used the power of the
Nether Orbs to permanently alter their powers.

The protrusion between the horns of the Protector is sold at a high price as a
good-luck charm, as these creatures are immune to curses. The amulets,
however, lack this property.
"
Apis Warrior,"The Apis were turned into loyal beasts by the Sphinx Usurper, able to face
danger. In exchange, they lost their power over the earth and the sun.
However, adding the strength of the Apis to the battle against the Watchers
was not enough to change the fate of the empire. The Apis Warrior, made by
the Usurper to protect it, knew that it was fighting for a lost cause and rebelled
to free its people. The Apis turned against the Sphinxes, who could not prevent
their escape on the last day of Kaito.
"
Apocranox,"Elinar was a forest Elf who lived for hundreds of years in the northeast
Cutthroat Jungle of a different continent. In that place, an evil empress not only
banned non-humans from using what little magic there was, but also ordered
their extermination, which caused an exodus of creatures such as Smiths and
Gorgons. The Elves, hidden in the woods, were the main foes of this Dark
Lady, the only ones who were not exterminated despite the fact that they would
not leave their home under any circumstances. Elinar was their most powerful
warrior, but the Auditors tried to recruit him before the war came to an end.
Elinar accepted the offer, but he would only join them when the war ended. The
Auditors assured him that the land of the Elves could never fall to the empress,
and that she would be betrayed by one of her own in less than a year. Still
Elinar declined the offer. The next morning, the empress was dead. According
to one of the survivors in the castle, five Carnages and a ""big eye"" had taken
her down after overwhelming her personal guard. For the eleven years he
worked with his five companions in the organization, Elinar used the codename
Morning Star.
"
Apollinaire,"All Rift Dancers hate Magi, but Apollinaire especially so. In ancient times, this
creature attacked a tower inhabited by Magi and annihilated them all, leaving a
terrifying trail of blood and entrails in its ascent. It has been seen touching other
Rift Dancers, making them disappear with a peaceful sigh, as if it allowed them
to return to their own world.
"
Aquamarine Carbuncle,"Carbuncles are elusive, easily frightened creatures, though not by nature. In
ancient times, humans discovered that the gem on their forehead has the
ability to store spells, which can then be used by anyone with practically no
limitations.

Any magic item around an Aquamarine Carbuncle gets slightly colder and
gives off specks of blue light that are more visible the closer the item is to the
creature. Unlike the rest of their kind, Aquamarine Carbuncles do not dislike
water and sometimes they even enjoy shaking themselves next to others of
their species while they are wet.
"
Arcana Chimera,"The Chimeras were created by T'mere M'rgo for the sole purpose of protecting
the Amalgam Gardens.

The Arcana Chimera is the most intelligent of its kind, although military strategy
is better suited to one of its siblings. It prefers not to fight physically, but when
cornered it uses its stinger to keep enemies away. Only if this does not work
will it lower its head and charge towards its enemies, possibly knocking them
out. In its spare time it loves to read, especially plays. Indeed, some these
creatures have recently visited Rodia's theaters.
"
Arcane Automaton,"Thanks to advances in magic, a group of Neralim scientisis succeeded in
creating a functional design of the unfinished prototype. Automatons were built
to protect Rodia. They are mindless soldiers who only obey orders from their
owners.

The Arcane Automaton is unable to handle weapons with its hands, but it can
telepathically move the crystals that orbit around it to cut its enemies down. If
one of the crystals breaks, it uses the tears that come from its eye to make
another.
"
Arcane Familiar,"Familiars love reading and studying magic, which is why it is rare to find one
that does not carry a book. They are expert Bat hunters, using their knowledge
about the emission and reception of ultrasounds to lead them to a trap.

If another creature chooses the Arcane Familiar as prey, it will defend itself by
hitting its enemy on the legs with its cane without causing unnecessary
damage.
"
Arcane Pilwiz,"The Pilwiz are a species that is exclusively devoted to agriculture, and
especially to the plantations of corn, of which they have complete monopoly in
every kingdom of Rodia.

The presence of the Arcane Pilwiz has become a vital part of the agricultural
cycle, as it can accelerate the growth of the plants around it. However, it must
sacrifice an animal daily to produce this effect.
"
Arcus Vulpes,"The Arcus Vulpes can change its fur color at will effortlessly. In this way, it can
camouflage itself in all kinds of environments. However, it is also a skilled,
energetic, and tenacious hunter, so it generally does not use its camouflage
unless it is feeling too lazy to chase prey at that moment.
"
Ariamaki,"Nobody knows for sure when or how Ariamaki appeared, as his realm was
discovered by the Magic University of Neralim a few months ago. For the God
of Balance, good and evil, and chaos and order must coexist for the world to
function properly. However, his attempts to create balance are not always very
successful, and he sometimes ends up helping to commit real atrocities that he
later deeply regrets. Also, his way of dealing with people is chaotic, as he
refuses to be nice as well as unfriendly to the same person all the time.
"
Armored Maniac,"Maniacs are creatures that live in a small peninsula surrounded by an almost
impassable desert beyond Ahruna.

The Armored Maniac is nothing more than a Maniac Builder trained to
demolish the wooden walls of neighboring tribes. Before going into battle, it
wallows in a pool of mud and blood, preferably from its enemies.
"
Ascendant Revenant,"Ascendant Revenants never use melee weapons in battle. They are great
engineers who learned to use gunpowder in a continent far from Radia, as well
as a real pain in the neck for the authorities. Although, luckily, they are few in
number, these creatures cause so much damage that those who live to tell the
tale always describe it as ""unfair."" Their enemies either explode or are cut
down by the Revenant's companions while trying to tear the devices from their
bodies. After the war ends, Rodia's council will make it a top priority to find a
way to reduce the damage these contraptions cause in battle.
"
Asclepias Fae,"In the middle of the desert known as the Bronze Sea, there is a huge, lush tree
that is not affected by the extreme temperatures in its environment. It is known
as Yataka.

The Asclepias Fae, like many of its kind, leaves behind it a trail in the color of
its wings while flying. However, this Fae can use that trail to distract its enemies
by creating a whirlwind of color as it flutters at high speed, confusing them or
even hiding its presence.
"
Ashbone Efreet,"Immediately after the Djinn uprising, Vulcanar visited Zonte and his teacher to
propose a deal. Apparently, seeing a Djinn Pyromancer had given him an idea.
In exchange for his help to take back to Refuge of the Magi, they would help
him create the Efreets. As long as there is a fire, the Ashbone Efreet can alter
its movement and duration at will. If it sees a fire break out, it will use its
powers to prevent anyone from extinguishing it.
"
Ashmouth Cerberus,"The Cerberus species was created by Vulcanar to terrorize the inhabitants of
Rodia and protect the entrance to the Great Pandemonium.

When prey is not readily available, the Ashmouth Cerberus will sate its hunger
with any embers it can find around it. It is used to enduring temperatures above
200 °F, but it can survive in colder environments thanks to the thickness of its
skin and the heat it gives off due to its metabolism.
"
