name,description,material_name
Crunch,This creature's attacks deal 75% more damage and afflict the target with Vulnerable.,Warrior Headdress
Master of Apises,"At the start of battle, your Apises gain the Long Live trait.",Sigil of the Apis
Urh Harbinger,"Your creatures have 15% more Attack, Intelligence, Defense, and Speed for each turn they've taken in the current battle. This trait does not stack.",Aaxer Sinew
Urdox Harbinger,Your creatures deal 50% more critical damage for each turn they've taken in the current battle. This trait does not stack.,Agor Sinew
Culmination,Your creatures' spells deal 5% more damage for each spell all your creatures have manually Cast in the current battle. This trait does not stack.,Corox Sinew
Quahn Harbinger,Your creatures have a 25% chance to resist debuffs for each turn they've taken in the current battle. This trait does not stack.,Gorum Sinew
Naxor Harbinger,Your creatures deal 40% more damage for each turn they've taken in the current battle. This trait does not stack.,Inox Sinew
Mungus Harbinger,Your creatures take 10% less damage for each turn they've taken in the current battle. Maximum of 90% damage reduction. This trait does not stack.,Zarox Sinew
Phase Out,Your creatures have a 5% chance (up to 50%) to avoid damage for each turn they've taken in the current battle. This trait does not stack.,Zzyia Sinew
Gift of Charybdis,"After your creatures die, they grant 25% of their Intelligence and Defense to all your creatures. This trait does not stack.",Charybdis' Trident
Torn Between Scylla and Charybdis,"When your creatures die, they grant a copy of their innate trait to your other creatures.",Cloud Opal
Master of Apocalypses,Your Apocalypses act as if they take 2 turns at once. This trait does not stack.,Sigil of the Apocalypse
Consume,"When this creature Attacks an enemy with Snared, it deals 150% more damage, recovers Health equal to 100% of the damage dealt, and removes this debuff.",Ancient Mandible
Here to Die,"After an enemy is afflicted with either Bleeding or Poisoned, this creature afflicts them with whichever of these debuffs the target doesn't already have.",Canopy Mandible
Hopelessness,Enemies with Snared take 50% more damage. This trait does not stack.,Creeping Mandible
Numbing Venom,"After an enemy takes damage from Poisoned, they have a 50% chance to be afflicted with Snared. This trait does not stack.",Dragonlair Mandible
Entrapment,"After this creature is Attacked, it afflicts the enemy with Snared.",Goliath Mandible
Jagged Edges,"At the start of each creature's turn, enemies with Snared take damage equal to 10% of this creature's Speed. This trait does not stack.",Razorweb Mandible
Spit Poison,"After this creature is Attacked, it afflicts enemies with Poisoned. If enemies already have this debuff, its potency is increased by 30% instead.",Spitting Mandible
Arachnophobia,Enemies with Snared take 65% more damage from their Poison debuff. This trait does not stack.,Wooly Mandible
Master of Arachnalisks,Enemies take 20% more damage from Poisoned for each Arachnalisk fighting on your side. This trait does not stack.,Sigil of the Arachnalisk
Call of the Harvest,"Your creatures always have Agile. In addition, this creature has an independent 50% chance to dodge attacks.",Autumn Figment
Call of Evolution,"After this creature dodges an attack, it Casts one of its spells. In addition, this creature has an independent 50% chance to dodge attacks.",Change Figment
Call of the Grave,"After this creature dodges, enemies lose 20% of their highest stat. In addition, this creature has an independent 50% chance to dodge attacks. This trait does not stack.",Decay Figment
Call of the Aspect,"This creature has an independent 12% chance to dodge attacks for each different type of Aspect fighting on your side. When it does, your Aspects gain 20% Attack, Intelligence, Defense, and Speed.",Seasons Figment
Call of the Bloom,"After this creature dodges, your creatures recover 30% Health. In addition, this creature has an independent 50% chance to dodge attacks.",Springtime Figment
Call of the Solstice,"After this creature dodges, it attacks the enemy. In addition, this creature has an independent 50% chance to dodge attacks.",Summer Figment
Call of Time,"After this creature dodges an attack, it gains a Barrier that absorbs damage equal to 50% of its Speed. In addition, this creature has an independent 50% chance to dodge attacks.",Time Figment
Call of the Tundra,"After this creature dodges, it Casts Snowstorm. In addition, this creature has an independent 50% chance to dodge attacks.",Winter Figment
Crown Prince Syndrome,"After this creature dodges or deals critical damage, it Defends or Provokes.",Whacking Stick
Never Yield,"This creature always deals critical damage. At the start of this creature's turn, it Defends and then its turn ends.",Signet of Unity
Stand Alone Complex,"This creature always dodges attacks. At the start of this creature's turn, it Provokes and then its turn ends.",Peacebloom
Master of Aspects,"Your Aspects have another 50% independent chance to Dodge attacks. In addition, your Aspects take 25% less damage from all sources. This trait does not stack.",Sigil of the Aspect
Thirst For Blood,"After your creatures deal critical damage, they recover Health equal to 100% of the damage dealt. This trait does not stack.",Blooddrinker Tattoo
Ferocity,Your creatures always have Savage and have a 25% greater chance to deal critical damage. This trait does not stack.,Bonebreaker Tattoo
Marked With Blood,"After your other creatures deal critical damage with attacks, this creature Attacks the target.",Fleshstomper Tattoo
Sidewinder,"After this creature deals critical damage, it has a 75% chance to attack again.",Gutslasher Tattoo
Pummel,This creature deals 200% additional critical damage.,Heartripper Tattoo
Lacerate,"After your creatures deal critical damage, this creature afflicts the target with Silenced and Bleeding.",Strangler Tattoo
Quadhits,"When this creature Attacks, it Attacks a total of 4 times for 30% normal damage. It has a 10% chance to kill the target each time it deals critical damage.",Zantai Tattoo
Master of Asuras,Your Asuras' on-critical effects activate 2 additional times. This trait does not stack.,Sigil of the Asura
Momentum,"At the start of this creature's turn, it reduces the enemies' Speed by 15% of this creature's Speed.",Ancient Gear
Motivation,"At the start of this creature's turn, it reduces the enemies' Attack by 15% of this creature's Attack.",Arcane Gear
Euphoria,"At the start of this creature's turn, it reduces the enemies' Intelligence by 15% of this creature's Intelligence.",Cursed Gear
Instigation,"At the start of this creature's turn, it reduces the enemies' Defense by 15% of this creature's Defense.",Decrepit Gear
Pandemic,"At the start of this creature's turn, it afflicts enemies with a random debuff.",Luxury Gear
Battle From Within,"At the start of this creature's turn, it deals damage to enemies equal to 25% of its missing Health.",Siege Gear
Downturn,"At the start of this creature's turn, it removes 1 buff from each enemy.",War Gear
Master of Automatons,"If all the creatures in your party are Automatons, the strength of their innate traits is doubled. This trait does not stack.",Sigil of the Automaton
Periphery,"Your creatures always dodge attacks and deal critical damage, but take 50% more damage. This trait does not stack.",N/A
Trick Shot,"After this creature Attacks, it Casts 3 of its equipped Arrow spells.",N/A
Pandora,"Your creatures can equip all Spell Gems, regardless of their class. After your creatures manually Cast a spell, they also Cast a random spell from their Spell Gem list from each other class.",N/A
Wintermaul,"At the start of this creature's turn, it Casts Snowstorm. After your creatures Attack a Frozen enemy, they Cast Shatter on it. This trait does not stack.",N/A
The Nether,"At the start of your other creatures' turns, this creature performs an action depending on that creature's class. Chaos - Attack a random enemy. Death - Enemies are afflicted with a random debuff. Life - Your creatures gain a random buff. Nature - Your creatures gain 10% stats. Sorcery - Cast one of this creature's Spell Gems.",N/A
Avenged Sevenfold,"After your creatures take damage from an attack or spell, they Cast a Scourge spell on the enemy. The type of Scourge spell is based on the enemy's class. This trait does not stack.",N/A
The Black,"Enemies always have Poisoned, Blighted, Leeching, and Mending.",N/A
Eraser,"After your creatures Attack, they reduce the target's Maximum Health by the same amount of damage dealt. This trait does not stack.",N/A
Perfect Imperfection,"Your creatures deal 40% more damage and take 10% less damage for each turn they've taken in the current battle. At the start of battle, your creatures gain the Timewalk spell. This trait does not stack.",N/A
Marigold,Your creatures' stats gained in battle are no longer subject to diminishing returns.,N/A
Blood Pact,Your creatures deal additional damage equal to 5% of all the damage your creatures have dealt in the current battle. This trait does not stack.,N/A
Euthanasia,"After this creature damages an enemy below 50% Health, it Casts Death Siphon on it.",N/A
Brothel,"At the start of battle, your other creatures with the same class as this creature share their innate trait with the creatures adjacent to them. This trait does not stack.",N/A
Prayer Position,"At the end of your creatures' turns, they Defend. Your creatures take 90% less damage while they're Defending. This trait does not stack.",N/A
The End,"At the end of each enemy's turn, this creature deals damage to it equal to 40% of this creature's highest stat. This trait does not stack.",N/A
Lingering Essence,This creature takes 18% less damage for each of its living allies. This trait does not work if another creature has this trait.,N/A
I HATE YOU !@#$ING ALL,"AT THE END OF YOUR CREATURES' TURNS, THEY'LL SAY A LOT OF !@#$ED UP !@#$ TO THE ENEMIES. SINCE YOUR ENEMIES HAVE THE EMOTIONAL FORTITUDE OF A PIKACHU, THEY'LL CRY LIKE A BUNCH OF !@#$%ES AND DEAL 90% LESS DAMAGE. THIS TRAIT DOES NOT STACK, WHATEVER THE !@#$ THAT MEANS.",N/A
Soul Reaver,"After this creature damages an enemy, it steals their buffs and minions and gives them its debuffs. In addition, your creatures' buffs and minions last forever, and enemies' debuffs last forever.",N/A
Lune,"After your creatures Cast a spell, they also Cast a random, powerful spell. This trait does not stack.",N/A
Firelord,"When your creatures Attack, they deal 20% more damage for each time they've attacked in the current battle. This trait does not stack.",N/A
The Truth,"Your creatures' Artifacts' Nether Stones are 100% more powerful, and their Nether Stones' Spell Gems have a 100% chance to activate. This trait does not stack.",N/A
Expanded Power,Your creatures' damaging spells that have 'small' 'moderate' or 'large' potency now have 'massive' potency.,N/A
Empowered Death Siphon,"At the start of battle, this creature gains Death Siphon. When this creature Casts this spell, it doesn't kill the target.",Abyss Doll
Empowered Magic Missile,"At the start of battle, this creature gains Magic Missile. When this creature Casts this spell, it Casts 3 additional times.",Anguish Doll
Empowered Fireball,"At the start of battle, this creature gains Fireball. When this creature Casts this spell, it has a 75% chance to Cast it 1 additional time. This effect can occur repeatedly.",Destruction Doll
Empowered Bone Spear,"At the start of battle, this creature gains Bone Spear. When this creature Casts this spell, it Casts 1 additional time and ignores 25% of the target's Defense.",Impaler Doll
Tempest,Your creatures' single target spells have a 20% chance to also be Cast on all the target's allies. This trait does not stack.,Phobos Doll
Empowered Savage Spores,"At the start of battle, this creature gains Savage Spores. When this creature Casts this spell, it increases your creatures' Defense instead of decreasing it.",Savage Doll
Empowered Chain Lightning,"At the start of battle, this creature gains Chain Lightning. When this creature Casts this spell, its damage increases rather than decreases with each bounce.",Styx Doll
Empowered Death Blossom,"At the start of battle, this creature gains Death Blossom. When this creature Casts this spell, it deals a moderate amount of damage instead of a small amount of damage.",Tormented Doll
Empowered Soul Sacrifice,"At the start of battle, this creature gains Soul Sacrifice. When this creature Casts this spell, it also affects enemies.",Valentine Doll
Vlora's Haunting,"After this creature is moved to the top of the Timeline, your other creatures gain Invisible and Savage.",Vlora's Essence
Vlora's Lies,"After this creature is moved to the top of the Timeline, your other creatures gain a random minion.",Vlora's Poem
Vlora's Trick,"After this creature is moved to the top of the Timeline, enemies take damage equal to 50% of its highest stat.",Vlora's Flower
Master of Banshees,"If all the creatures in your party are Banshees, enemies always have Scorned.",Sigil of the Banshee
Song of Alacrity,Your creatures' attacks deal 50% of their damage using Speed instead of Attack. This trait does not stack.,Balladeer Harp
Christmas Music Sucks,The potency of your creatures' non-damaging spells is based on their Barrier absorption instead of intelligence.,Caroller Gift
Fable,"At the start of battle, this creature's race becomes Godspawn. Your creatures deal 25% more damage for each Godspawn creature fighting on your side. This trait does not stack.",Fool Harp
Song of Resolve,Your creatures' attacks deal 50% of their damage using Defense instead of Attack. This trait does not stack.,Jongleur Harp
Song of Wit,Your creatures' attacks deal 50% of their damage using Intelligence instead of Attack. This trait does not stack.,Minstrel Harp
Hymn of Guile,Enemies cannot gain Invisible.,Poet Harp
Hymn of Panic,"At the start of battle, the Timeline is shuffled randomly.",Trovatore Harp
Hymn of Strength,"When your creatures lose stats, the amount lost is reduced by 50%. This trait does not stack.",Versifier Harp
Master of Bards,"If all the creatures in your party are Bards, their Song traits are 100% more effective and they have an independent 50% chance to deal critical damage.
This trait does not stack.",Sigil of the Bard
Awakening,"If this creature does not take damage from attacks or spells between each of its turns, each of your creatures Cast one of their Spell Gems at random.",Crashing Husk
Here Until Forever,"If this creature does not take damage from attacks or spells between each of its turns, it recovers 100% Health and gains Rebirth.",Dormant Husk
Sluice,"If this creature does not take damage from attacks or spells between each of its turns, it Casts 3 of its Spell Gems at random.",Ethereal Husk
Run Free,"If this creature does not take damage from attacks or spells between each of its turns, it Attacks each enemy.",Lurking Husk
No Sudden Movement,"If this creature does not take damage from attacks or spells between each of its turns, it afflicts enemies with Snared and decreases their Speed by 30%.",Roaring Husk
Heated Ichor,"If this creature does not take damage from attacks or spells between each of its turns, it deals damage to enemies equal to 50% of its Current Health.",Spitting Husk
Sap,"If this creature does not take damage from attacks or spells between each of its turns, this creature Seals all the enemies' Spell Gems.",Stomping Husk
Master of Basilisks,"If all the creatures in your party are Basilisks, they have a 20% chance to avoid damage.
In addition, their innate traits have a 25% chance to activate even if they took damage between their turns. This trait does not stack.",Sigil of the Basilisk
Amongst Gods,"After an ally Attacks, this creature has a 20% chance to resurrect one of your creatures with 50% Health. This trait does not stack.",Angel Bat Wings
Bombardment,"After an ally Attacks, this creature deals damage to the target equal to 35% of its Attack.",Crypt Bat Wings
Dark Passenger,"After an ally Attacks, this creature has a 35% chance to Cast Necrosis.",Death Bat Wings
Cloud of Bats,"After an ally Attacks, this creature has a 50% chance to attack the same target.",Mutated Crypt Bat Wings
Screeching Barrage,"After an ally Attacks, this creature deals damage to enemies equal to 25% of its Speed.",Mutated Pulse Bat Wings
Vampiric Aura,"After an ally Attacks, your creatures recover Health equal to 25% of the damage dealt.",Mutated Vampire Bat Wings
Echolocation,"After an ally Attacks, this creature gains 7% Speed.",Pulse Bat Wings
Sluuurp!,"After an ally Attacks, this creature afflicts the enemy with a random debuff.",Slurping Bat Wings
Blood Sucker,"After an ally Attacks, this creature recovers Health equal to 100% of the damage dealt.",Vampire Bat Wings
Master of Bats,Your Bats have a 50% chance to Attack 1 additional time. This effect can occur repeatedly. This trait does not stack.,Sigil of the Bat
Overkill,"After this creature Attacks, and the damage exceeds 35% of the target's Maximum Health, enemies take 70% of this damage as well.",Blademaster Maul
Ultimatum,"After this creature Attacks, it deals damage to the target and enemies adjacent to the target equal to 50% of this creature's Current Health.",Brute Maul
Wallop,"After this creature Attacks, it decreases the Defense of the target and enemies adjacent to the target by 30%.",Captain Maul
Wrecking Ball,"After this creature Attacks, it afflicts the target with Vulnerable and Stone.",Enforcer Maul
Independence,"This creature's attacks always deal critical damage. In addition, this creature has an independent 30% chance to dodge attacks.",Loner Maul
Sweeping Smash,"After this creature Attacks, it deals 70% of the damage dealt to adjacent enemies.",Mauler Maul
Kirisute Gomen,"After this creature Attacks, and the damage exceeds 25% of the target's Maximum Health, this creature and the enemy are killed.",Shogun Maul
Brain Bash,"After this creature Attacks, the target has a 100% chance and the enemies adjacent to the target have a 50% chance to be afflicted with Confused.",Trickster Maul
Master of Brownies,Your Brownies Attack 1 additional time for each Brownie fighting on your side. Your creatures deal 50% less damage. This trait does not stack.,Sigil of the Brownie
Thirst for Power,"After your creatures Cast a spell, they have a 7% chance to gain a random buff for each spell that has been Cast by all creatures in the current battle. This trait does not stack.",Aquamarine Trinket
Paramount,"After this creature takes damage, it has a 2% chance to Cast one of its spells for each spell that has been Cast by all creatures in the current battle. This trait can only activate once per turn.",Emerald Trinket
Magic Barrier,"If your creatures have Cast a total of 12 or more spells in the current battle, your creatures are immune to debuffs.",Onyx Trinket
Annex,This creature has 5% more Intelligence for each spell that has been Cast by all creatures in the current battle.,Ruby Trinket
Nirvana,"If your creatures have Cast a total of 7 or more spells in the current battle, this creature's spells are 50% more potent and no longer consume Charges.",Sapphire Trinket
Absolute Power,This creature's attacks deal 5% more damage for each spell that has been Cast by all creatures in the current battle.,Topaz Trinket
Vitja's Games,"After this creature is killed, it Casts 10 random spells.",Vitja's Tail
Vitja's Surprise,"After this creature is killed or resurrected, it Casts its first Spell Gem 3 times.",Vitja's Jewel
Vitja's Revenge,"After this creature is resurrected, it Casts 5 of its spells.",Vitja's Ear
Master of Carbuncles,"If all the creatures in your party are Carbuncles, their innate traits grow stronger twice as fast. This trait does not stack.",Sigil of the Carbuncle
Demoralize,"After this creature kills a creature, it reduces all enemies' Defense by 50%.",Antagonizer Exoskeleton
Rend and Tear,"After this creature kills an enemy, it Attacks the creatures adjacent to it for 100% more damage.",Destructor Exoskeleton
Rapid Digestion,"After this creature kills a creature, it gains 5 random buffs.",Devourer Exoskeleton
Midnight Feast,"After this creature kills a creature, it recovers 100% Health and takes another turn. This trait only allows the creature to take an additional turn once at a time.",Fallen Exoskeleton
Consumption,"After this creature kills a creature, it gains 35% of the target's Attack, Intelligence, Defense, and Speed.",Rotten Exoskeleton
Augmentation,"After this creature kills a creature, your creatures gain a random buff for each buff, debuff, and minion the target had before it died.",Shadow Exoskeleton
Deadly Instincts,"After this creature kills an enemy, it deals damage to all other enemies equal to 75% of this creature's Current Health.",Tormenter Exoskeleton
Master of Carnages,"After one of your Carnages kill an enemy, your other Carnages Attack a random enemy for 100% more damage. This trait does not stack.",Sigil of the Carnage
Eradication,Your creatures have an independent 25% chance to deal critical damage with attacks for each debuff the enemy has. This trait does not stack.,Chopper Shiv
Roulette,"When this creature Attacks, it has a 50% chance to deal no damage and heal all your creatures for the amount of damage it would have dealt. Otherwise, it deals 50% more damage.",Demented Shiv
Confrontation,"At the start of this creature's turn, it Attacks a random enemy for 50% normal damage. Then, that enemy Attacks this creature.",Feral Shiv
Betrayal,"After one of your creatures is damaged and their Health falls below 40%, this creature kills it and gains 100% of its Attack, Intelligence, Defense, and Speed.",Heartseeker Shiv
Wild Stabs,"After this creature Defends, it Attacks enemy creatures at random for 50% normal damage. This effect happens 3 to 5 times.",Sadist Shiv
Subversion,This creature's attacks deal 75% more damage and afflict the target with Disarmed.,Shadowstalker Shiv
Peekaboo!,"This creature can target Invisible creatures, and your creatures deal 150% more damage to Invisible creatures. This trait does not stack.",Twisted Shiv
Cold Blood,"When this creature deals damage, it deals between 50% and 250% normal damage.",Wicked Shiv
Master of Carvers,Your Carvers deal 30% more damage and take 10% more damage for each Carver fighting on your side.,Sigil of the Carver
Square Nothing,"After this creature Attacks, it deals 60% of the damage dealt to each enemy that has at least one of the same debuffs as its target.",Chaser Tuft
Touch of Red,"When your creatures Attack an enemy multiple times in a row on the same turn, the damage of all their attacks is increased by 25% for each attack. This trait does not stack.",Duelist Tuft
War Stomp,"After this creature deals critical damage, it deals 20% of this damage to all other enemies.",Khan Tuft
Anticipation,"After an enemy is killed, this creature Attacks random enemies 3 times.",Raider Tuft
On The Rocks,"When this creature Attacks, it Attacks an additional number of times equal to the number of spells your creatures Casted since it last Attacked.",Ranger Tuft
Infinite Struggle,"After this creature Attacks, it has a 25% chance to continue Attacking the target for each debuff it has.",Runner Tuft
Paradigm,"After this creature is Attacked, it Attacks the enemy.",Warrior Tuft
Sunny Disposition,"After an enemy manually Casts a spell, this creature Attacks it.",Wrangler Tuft
Master of Centaurs,"Your Centaurs' attacks deal 20% more damage and have an independent 10% chance to deal critical damage for each Centaur fighting on your side.
This trait does not stack.",Sigil of the Centaur
Spell Tap,"This creature can't Cast spells manually, but can equip 3 extra Spell Gems. At the start of battle, your creatures gain copies of this creature's non-Ethereal Spell Gems. This trait does not stack.",Ashmouth Chain
Wrath of the Underworld,"This creature can't Cast spells manually. After this creature takes damage from any source, it has a 30% chance to Cast one of its spells.",Banelord Chain
Zero to One,"This creature can't Cast spells manually. After this creature Attacks, it Casts one of its single-target spells on the target.",Bound Chain
Channeling,"This creature can't Cast spells manually. Your creatures have 5% more Attack, Intelligence, Defense, Speed, or Health for each non-Ethereal Chaos, Sorcery, Nature, Death, or Life Spell Gem this creature has equipped. This trait does not stack.",Caustic Chain
Abaddon's Boon,"This creature can't Cast spells manually. After this creature Defends, it Casts one of its spells that can target all your creatures.",Gatewatcher Chain
Hellblast,"This creature can't Cast spells manually. After this creature Provokes, it Casts one of its spells that can target all enemy creatures.",Hellguard Chain
Burst of Power,"This creature can't Cast spells manually. After this creature Attacks, each of its non-Ethereal Spell Gems have a 20% chance to be cast.",Lightning Chain
Master of Cerberuses,"If all the creatures in your party are Cerberuses, they can manually Cast spells.",Sigil of the Cerberus
Shadowmeld,Your creatures have an independent 10% chance to dodge for each debuff the enemy has. This trait does not stack.,"Deep Finger, Heh"
Pain Flurry,"After an enemy dodges, this creature Casts a random spell from each class.",Doom Finger
Sticky Fingers,"After an enemy dodges, this creature decreases its Speed by 50%.",Ethereal Finger
Vehemence,"After an enemy dodges, this creature afflicts it with Burning and Scorned.",Flamegrip Finger
Smack Around,"After an enemy dodges an attack from one of your other creatures, this creature Attacks the enemy 2 times.",Necrotic Finger
Brain Zap,"After an enemy dodges an attack, enemies are afflicted with Confused.",Static Finger
Contagion,"After an enemy dodges, this creature afflicts it with Poisoned and Silenced.",Venomous Finger
Seize,"After an enemy dodges, this creature afflicts it with Stone and Snared.",Vital Finger
Lash,"After an enemy dodges an attack, they take damage equal to 30% of their Current Health. This trait does not stack.",Lash Finger
Master of Clutchers,"When an enemy dodges your Clutchers' attacks, they still take damage.",Sigil of the Clutcher
Strength in Numbers,"Your creatures' traits, spells, and other effects that are affected by the number of creatures that belong to a certain class act as if they have 2 more of those creatures fighting on your side. This trait does not stack.",Carrion Comb
Weird Dance,"At the start of battle, this creature gains 2 random traits that belong to the same race as the first creature in your party.",Cave Comb
Odd One,"Your creatures' traits, spells, and other effects that are affected by the number of creatures that belong to a certain race act as if they have 2 more of those creatures fighting on your side. This trait does not stack.",Cacophonous Comb
Outcast No Longer,"At the start of battle, the races of the last 3 creatures in your party are changed to that of the first creature in your party.",Clawing Comb
Blending In,"At the start of battle, the classes of the last 3 creatures in your party are changed to that of the first creature in your party.",Cold Comb
Cock-a-doodle-doo,"At the start of battle, your Cockatrice creatures gain a random Cockatrice trait. This trait does not stack.",Contagious Comb
Master of Cockatrices,"If all the creatures in your party are Cockatrices, enemies always have Confused.",Sigil of the Cockatrice
Acid Body,"After this creature is Attacked, it afflicts the enemy with Disarmed and Seals one of their Spell Gems.",Blobbarian Gel
Squelch,"After an enemy is afflicted with Disarmed, they are also afflicted with Scorned or Silenced, depending on whether their Attack or Intelligence is higher. This trait does not stack.",Gloopdiator Gel
Overcome,"After this creature attacks, its Artifact's Spell Slot has an independent 50% chance to activate.",Gooarrior Gel
Dissolve,Enemies that are Disarmed have a 50% chance for their Attacks to fail. This trait does not stack.,Mystery Gel
