name,category,turns,leave_chance,max_stacks,icon,description
War,minion,,25,1,stat_m_war_0.png,"After War's master is damaged, it deals damage to the enemy equal to 50% of the damage taken."
Writhelings,minion,,25,5,stat_m_writheling_0.png,After this minion's master takes damage from an attack or spell each Writhelings afflicts  random enemy with a random debuff.
Zombies,minion,,25,9,stat_m_zombie_0.png,"At the start of this minion's master's turn, each Zombies deals damage to a random enemy equal to 50% of its Attack."
Asmodeus,minion,,35,1,stat_m_asmodeus_0.png,"When Asmodeus' master Attacks, it always deals critical damage, cannot be dodged, and damages all other enemies for 50% less damage. This minion is a Greater Demon. Demons are never granted by effects that generate random minions."
Beelzebub,minion,,35,1,stat_m_beelzebub_0.png,"When Beelzebub's master kills an enemy, it gains a random Greater Demon. This minion is a Greater Demon. Demons are never granted by effects that generate random minions."
Belphegor,minion,,35,1,stat_m_belphegor_0.png,"When Belphegor's master Casts a single-target spell, it targets all the creatures fighting on the target's side. This minion is a Greater Demon. Demons are never granted by effects that generate random minions."
Brim Fiends,minion,,5,9,stat_m_brimfiends_0.png,"When this minion's master Attacks, it sacrifices each Brim Fiends to increase its damage by 50% per stack. Maximum of 9 stacks. This minion is a Lesser Demon. Demons are never granted by effects that generate random minions."
Chaos Satyrs,minion,,5,9,stat_m_chaossatyrs_0.png,"After this minion's master Defends or Provokes, it sacrifices each Chaos Satyrs to deal damage to enemies equal to 15% of its highest stat per stack. Maximum of 9 stacks. This minion is a Lesser Demon. Demons are never granted by effects that generate random minions."
Fire Imps,minion,,5,9,stat_m_fireimps_0.png,"When this minion's master Casts a spell, it sacrifices each Fire Imps to increase its potency by 30% per stack. Maximum of 9 stacks. This minion is a Lesser Demon. Demons are never granted by effects that generate random minions."
Leviathan,minion,,35,1,stat_m_leviathan_0.png,"When Leviathan's master kills an enemy, it gains 5 stacks of each Lesser Demon. This minion is a Greater Demon. Demons are never granted by effects that generate random minions."
Lucifer,minion,,35,1,stat_m_lucifer_0.png,"At the start of Lucifer's master's turn, it Attacks random enemies 3 times. This minion is a Greater Demon. Demons are never granted by effects that generate random minions."
Mammon,minion,,35,1,stat_m_mammon_0.png,"When Mammon's master takes damage, the damage is reduced by 50% and it gains Shelled. This minion is a Greater Demon. Demons are never granted by effects that generate random minions."
Microbots,minion,,25,9,stat_m_microbots_0.png,"At the end of this minion's master's turn, each Microbots deals damage to a random enemy equal to 50% of its Intelligence. Maximum of 9 stacks."
Satanachia,minion,,35,1,stat_m_satanachia_0.png,"At the end of Satanachia's master's turn, it Casts the last 3 spells creatures Cast in the current battle. This minion is a Greater Demon. Demons are never granted by effects that generate random minions."
