name,klass,charges,source,description
Comet,Death,1,Avatar of Vertraag,"Enemies take a moderate amount of damage, multiplied by the number of turns the caster has taken in the current battle. This spell is an Ultimate spell."
Condemn Light,Life,15,Muse Shop,Enemies' classes are changed to Life.
Conductive Chains,Sorcery,6,Standard Spell (Backer),"Deals a moderate amount of damage to the target, then bounces to each of the target's allies at random. The damage is increased by 20% for each bounce."
Conflagration,Chaos,13,Standard Spell,"Target takes a small amount of damage, and all enemies take damage equal to 35% of the damage the target's Burning debuff would deal over its remaining duration."
Confusion,Sorcery,16,Standard Spell,Each enemy has a 50% chance to be afflicted with Confused.
Conjoin,Chaos,15,Standard Spell,Potency of the target's Bomb is increased by 80% of the caster's Speed.
Consecration,Life,10,Standard Spell,Enemies take a small amount of damage and the caster recovers a large amount of Health.
Constriction,Nature,17,Starter Spell,Target is afflicted with Weak and Snared.
Contagion,Death,13,Standard Spell (Backer),Enemies' minions are removed. Enemies are afflicted with a random debuff for each minion removed.
Controlled Burn,Chaos,10,False Gods (Nebodar),"Target takes a large amount of damage, plus 5% more damage for each time the caster has Cast a spell in the current battle."
Convoke the Spirits,Life,9,Life Guild,Target takes a large amount of damage. The spell's class is considered to be whatever class the target is weak against.
Corpse Explosion,Death,12,Mortem Shop,Enemies take a small amount of damage for each dead creature on the battlefield.
Corpse Shield,Death,15,Mortem Shop,Your creatures gain a Barrier that absorbs a large amount of damage for each of your dead creatures.
Corruption,Death,17,Friden Shop,Target is afflicted with Blighted and Cursed.
Cosmic Ripple,Life,15,Lister Shop,"Target takes a moderate amount of damage if it is an enemy, or is healed for a moderate amount of Health if it is an ally."
Counterspell,Sorcery,18,Standard Spell,Target takes a small amount of damage. The amount of damage is increased by 20% for each Charge this Spell Gem is missing.
Covenant,Life,20,Standard Spell,Target gains Rebirth.
Crackle,Life,13,Lister Shop,Target takes a moderate amount of damage and is afflicted with Confused.
Cross-Pollination,Nature,3,Standard Spell (Backer),Your creatures' classes are changed to Nature and they gain a large amount of the caster's highest stat.
Crucifixion,Death,8,Tenebris Shop,"Target takes a large amount of damage, plus 35% more damage for each minion the caster has."
Cruelty of the Wild,Nature,10,Standard Spell,"Enemies are afflicted with Blighted. If they are already afflicted with this debuff, they instead recover a moderate amount of Health."
Crush Punch,Chaos,8,Gonfurian Shop,Target takes a large amount of damage and loses a large amount of Defense.
Crushing Impact,Nature,13,Standard Spell,Creatures to the left and right of the target Attack the target.
Crystal Shield,Sorcery,5,Aeolian Shop,Your creatures gain a Barrier that absorbs damage equal to 100% of their Defense.
Crystal Spears,Sorcery,14,Standard Spell,"Target takes a moderate amount of damage, plus additional damage equal to 20% of the caster's Current Health."
Curse of Jimly,Death,9,Standard Spell (Backer),Enemies are afflicted with a random debuff for every 3 stacks of Zombies the caster has.
Curse of the Swarm,Nature,2,Standard Spell (Backer),Enemies are afflicted with a random debuff for each different class of creature fighting on your side.
Cyclone Strike,Nature,11,Standard Spell,Target and all enemies take a devastating amount of damage. The damage is split amongst all enemies.
Damnation,Death,12,Alexandria Shop,Enemies are afflicted with Cursed.
Dark Crystal,Sorcery,18,Aurum Shop,Target gains Shelled and Arcane.
Dark Enchantment,Death,12,Standard Spell,Target gains Arcane.
Dark Ritual,Death,12,Standard Spell,"Target creature is killed, and the caster gains all its buffs and 100% of its Attack and Speed."
Dark Seraphim,Life,3,Life Guild,"Target recovers Health equal to 100% of its missing Health and gains a massive amount of Attack, Intelligence and Speed."
Dark Strike,Death,1,Avatar of Erebyss,"Target takes a devastating amount of damage, and is afflicted with all debuffs. This spell is an Ultimate Spell."
Dark Summoning,Death,13,Death Guild,Your creatures Cast one of their spells that interact with minions.
Dark Thoughts,Death,6,Death Guild,Your creatures gain a massive amount of Intelligence and are afflicted with Scorned.
Dark Tranquility,Life,15,Standard Spell,"If the target has less than 85% Health, its Health is inverted."
Dark Transformation,Death,13,Tenebris Shop,"Target gains a moderate amount of Attack, Intelligence, Defense, and Speed for each minion it has."
Dark Whispers,Death,5,Vertraag Shop,Your creatures gain Arcane.
Death Blossom,Death,10,Tenebris Shop,Enemies take a small amount of damage three times.
Death Grip,Death,9,Death Guild,Target takes a large amount of damage and is sent to the bottom of the Timeline.
Death Orb,Death,3,False Gods (Caliban),Enemies are afflicted with a random debuff and lose a moderate amount of stats.
Death Siphon,Death,15,Erebyss Shop,"Target creature is killed, and the caster gains 50% of its Attack, Intelligence, Defense, Speed and Current and Maximum Health."
Death's Call,Death,16,Standard Spell,"Target is afflicted with Feared, and all its buffs are removed."
Debilitate,Death,20,Standard Spell,Target loses access to the extra traits it gained during battle.
Debilitating Blast,Chaos,7,Standard Spell (Backer),Enemies take a small amount of damage for each debuff (up to 3) they have.
Decay,Death,8,Standard Spell,Enemies are afflicted with Disarmed.
Deep Submersion,Sorcery,18,Standard Spell (Backer),"Target's lowest stat is set equal to its highest stat. Then, its highest stat is set to its minimum value."
Defile,Death,12,Standard Spell,Enemies are afflicted with Poisoned and Blighted.
Defy Light,Death,15,Tenebris Shop,Enemies' classes are changed to Death.
Demon Core,Chaos,5,Chaos Guild,"Your creatures gain a large amount of Attack and Intelligence, and a random Chaos Spell Gem."
Demon's Judgment,Chaos,8,Standard Spell (Backer),"Enemies lose a large amount of a random stat, and your creatures gain a large amount of that stat."
Demonic Strike,Chaos,11,Standard Spell,"Target takes a moderate amount of damage, plus 50% more damage for each enemy of the same class fighting on the target's side."
Demonwrath,Chaos,8,Chaos Guild,"Target takes a massive amount of damage, minus 30% damage for each turn the caster has taken in the current battle."
Dense Fog,Sorcery,15,Standard Spell,Each enemy has a 50% chance to be afflicted with Sleeping.
Depression,Death,12,False Gods (Althea),Target is afflicted with a random debuff for each time it has been healed in the current battle.
Desecrate,Death,13,Starter Spell,"Target takes a moderate amount of damage, plus 100% more damage for each enemy of the same race fighting on the target's side."
Desperate Bid,Life,20,Standard Spell (Backer),A random ally and a random enemy are resurrected with a random amount of Health.
Desperate Sacrifice,Death,1,Standard Spell (Backer),"Your creatures are resurrected with 100% Health. Then, this creature is killed."
Desperation,Chaos,16,Genaros Shop,"Target gains a Barrier that absorbs damage equal to its Defense, and loses 50% Defense."
Determination,Life,3,Standard Spell,Your creatures gain a large amount of Defense and Maximum Health.
Devastating Throw,Chaos,2,Standard Spell (Backer),Target takes a massive amount of damage and has a 50% chance to be sent to the bottom of the timeline. 50% of the damage is based on the caster's Attack and 50% of the damage is based on the caster's Speed instead of Intelligence.
Devastation,Chaos,9,False Gods (Nebodar),Increases the duration of enemies' Burning and Poisoned debuffs by 3 turns and increases their potency by 50%.
Devour,Death,4,Friden Shop,"Caster steals a large amount of Attack, Intelligence, Defense and Speed from the target."
Direct Orders,Death,12,Standard Spell (Backer),"Target takes a moderate amount of damage, plus 20% for each minion the caster has."
Disintegrating Arrow,Nature,3,Standard Spell (Backer),"Target takes a moderate amount of damage. If this spell kills the target, it cannot be resurrected for the rest of the battle. 100% of this damage is based on the caster's Speed instead of Intelligence."
Disk of Creation,Sorcery,10,Sorcery Guild,Target's stat gains and losses are removed.
Dispel,Sorcery,20,Standard Spell,Target's buffs and debuffs are removed.
Dispelling Dervish,Nature,10,Standard Spell (Backer),Target takes a moderate amount of damage and its buffs are removed.
Divination,Sorcery,13,Standard Spell,"Target's Ethereal Spell Gems are sealed, and this creature gains a small amount of Intelligence for each gem sealed."
Divine Aegis,Life,15,Surathli Shop,Caster gains a Barrier that absorbs a moderate amount of damage.
Divinity,Life,3,Standard Spell,"All creatures are resurrected, recover 100% Health, and their debuffs ar removed. The Timeline is shuffled."
Divulging Bark,Nature,5,Standard Spell (Backer),Your creatures gain 1 stack of Dire Wolves.
Dogpile,Nature,9,Standard Spell (Backer),"Target takes a moderate amount of damage, plus 5% damage for each stack of minions the caster has."
Double Punch,Chaos,14,4080 Shop,Target takes a small amount of damage twice. 100% of the damage dealt is based on the caster's Attack instead of Intelligence.
Double Strike,Nature,8,Standard Spell,"Target takes a moderate amount of damage twice. If the caster has Proficient, this spell is cast an additional time and then the Proficient buff is removed."
Downburst,Chaos,11,Venedon Shop,Target and the creatures adjacent to it take a moderate amount of damage.
Drain Life,Sorcery,10,Standard Spell,"Target takes a moderate amount of damage, and all your creatures recover Health equal to 100% of the damage dealt."
Drain Power,Sorcery,3,Standard Spell,"Target's Spell Gems lose 1 Charge, and the caster's other Spell Gems gain 1 Charge."
Dreadblade,Death,9,Ariamaki Shop,Target takes a large amount of damage and is afflicted with Feared.
Dream,Life,6,False Gods (Hydranox),Caster Casts one of its spells from each class.
Dream Stomp,Sorcery,12,Standard Spell (Backer),"Target takes a small amount of damage, or a massive amount of damage if they are afflicted with Sleeping."
Duel,Chaos,7,Standard Spell (Backer),Target and Caster Provoke and Attack each other.
Dust Cloak,Nature,10,Reclusa Shop,Your creatures gain Invisible and are sent to the bottom of the Timeline.
Dying Wish,Death,3,Ariamaki Shop,Target is sent to the top of the Timeline. The caster is killed.
Eagle Claws,Sorcery,1,Avatar of Aeolian,"Caster Attacks each enemy 2 times, and your creatures gain 10% Speed for each attack. This spell is an Ultimate spell."
Earth Enchantment,Nature,8,Anneltha Shop,"Target gains Taunting, and a large amount of Defense."
Earthen Embrace,Nature,8,Regalis Shop,Target recovers a moderate amount of Health and gains a Barrier that absorbs damage equal to 100% of the amount healed.
Earthen Spike,Nature,12,Anneltha Shop,"Target takes a small amount of damage, or massive damage if the target is Defending."
Earthquake,Nature,5,Torun Shop,Enemies take a large amount of damage and their minions are removed.
Elder Dragon's Call,Chaos,6,Standard Spell (Backer),"Target takes a large amount of damage, and all other enemies take 30% of this damage."
Elemental Barrage,Sorcery,10,Standard Spell,The last 3 Spell Gems that were cast by any creature in the current battle are cast again in your favor.
Elemental Barrier,Nature,20,Standard Spell,Target gains a Barrier that absorbs damage equal to 50% of its Defense.
Elemental Guard,Nature,15,Reclusa Shop,Your creatures gain a Barrier that absorbs damage equal to 20% of their Defense.
Elemental Tome,Sorcery,25,Starter Spell,Your creatures each gain a random Spell Gem until the end of battle.
Elemental Wrath,Nature,5,Standard Spell,Enemies take a large amount of damage.
Emerald Power,Sorcery,15,Sorcery Guild,Your creatures gain a copy of the Spell Gem in the target's Artifact's Spell Slot.
Empower,Nature,25,Standard Spell,Target gains Savage.
Energize,Nature,8,Nature Guild,Target's Spell Gems Charges are set to 35%.
Enfeeble,Death,11,Standard Spell,"Target loses a large amount of Attack,"
Engorge,Death,7,Standard Spell,Target gains a massive amount of Maximum Health and loses a massive amount of Defense and Speed.
Enlightenment,Life,10,Perdition Shop,"Target's Attack is added to its Intelligence. Then, its Attack is set to its minimum value."
Entangle,Nature,18,Standard Spell,Each enemy has a 50% chance to be afflicted with Snared.
Entangling Arrow,Nature,13,Apocranox Shop,Target takes a moderate amount of damage and is afflicted with Snared. 100% of the damage is based on the caster's Speed instead of Intelligence.
Entangling Roots,Nature,7,Nature Guild,Enemies are afflicted with Snared.
Epidemic,Death,6,Friden Shop,Afflicts all enemies with a copy of all the target's debuffs.
Epiphany,Life,7,Yseros Shop,Your creatures' races are changed to match that of the caster for the rest of the battle.
Equality,Life,20,Perdition Shop,Target's stats are averaged.
Erratium,Chaos,25,Standard Spell (Backer),Your creatures gain a random trait and are afflicted with Disarmed.
Ethereal Knives,Sorcery,9,Standard Spell,Enemies take a moderate amount of damage. 100% of the damage is based on the caster's Speed instead of Intelligence.
Evangelism,Life,15,Standard Spell,"Target gains Mending, Agile and Warded."
Eviscerate,Chaos,15,Genaros Shop,Target takes damage. The amount of damage is increased based on how much Health the target is missing.
Evolution,Nature,5,Standard Spell,"Target creature is transformed into a creature that belongs to its same race, and gains a massive amount of Attack, Intelligence, Defense and Speed."
Exhaustion,Sorcery,15,T'mere M'rgo Shop,Increases battle fatigue by 1 unit.
Expel,Nature,6,Anneltha Shop + Nature Guild,"One of the target's Spell Gems loses 100% of its Charges, and enemies take damage equal to 7% of the target's Intelligence for each Charge removed."
Explosive Arrow,Nature,10,Apocranox Shop,"Target takes a moderate amount of damage, or a devastating amount of damage if it has a Bomb. 100% of the damage is based on the caster's Speed instead of Intelligence."
Extinguish,Sorcery,30,Standard Spell,Kills the target if it has less than 33% Health.
Faewind Blade,Sorcery,12,Standard Spell (Backer),Target takes a small amount of damage 3 times.
Failed Experiment,Chaos,13,Standard Spell,"Enemies take a small amount of damage, or a massive amount if they are afflicted with Vulnerable."
Falling Feathers,Life,10,Standard Spell (Backer),"Random enemies take a moderate amount of damage continuously. After each enemy takes damage, the spell has a 25% chance to end."
False Beliefs,Life,11,Standard Spell,Enemies take damage equal to 100% of the Health they've recovered in the current battle.
Feeling Lucky,Chaos,15,Standard Spell (Backer),Caster Casts one of its other spells. The targets are chosen at complete random.
Feign Death,Death,10,False Gods (Ancestor),Caster's on-death effects are activated.
Fermented Hops,Death,9,Gambling Dwarves,"Enemies with Blighted are healed for an amount equal to 35% of their Maximum Health. Otherwise, they are afflicted with Blighted. This spell is a Booze Spell."
Fiery Gleam,Chaos,15,Standard Spell,Target is afflicted with Burning and Blind.
Fiery Stew,Chaos,7,Standard Spell (Backer),"Target recovers a small amount of Health and gains a small amount of Defense. Then, a random enemy is afflicred with Burning."
Final Form,Sorcery,12,Sorcery Guild,"Target gains Rebirth, Protected and Berserk."
Finger of Death,Death,5,Standard Spell,Target takes a massive amount of damage.
Fire Arrow,Nature,13,Apocranox Shop,Target takes a moderate amount of damage and is afflicted with Burning. 100% of the damage is based on the caster's Speed instead of Intelligence.
Fireball,Chaos,8,Vulcanar Shop,Target takes a moderate amount of damage and is afflicted with Burning.
Firedevil's Rage,Chaos,13,Standard Spell (Backer),Enemies are afflicted with Burning.
Firestorm,Chaos,8,Vulcanar Shop,Enemies take a moderate amount of damage and are afflicted with Burning.
Firewall,Chaos,6,4080 Shop,Enemies take a moderate amount of damage. Your creatures gain a moderate amount of Defense.
Fireworks,Sorcery,15,Aurum Shop,Enemies take a small amount of damage and have a 50% chance to be afflicted with Bomb.
Fist of Heavens,Life,5,Shallan Shop,Target takes a massive amount of damage.
Fist of Torun,Nature,4,Nature Guild,"Target takes a devastating amount of damage, and your creatures take damage equal to 20% of the damage dealt."
Flame Enchantment,Chaos,13,Standard Spell,Target gains Proficient.
Flame Lash,Chaos,12,Standard Spell,Your creatures gain Berserk and Splashing.
Flameheart,Chaos,22,False Gods (Nebodar),Your creatures gain a Barrier that absorbs damage equal to the amount of damage they've taken in the current battle.
Flamestrike,Chaos,9,Vulcanar Shop,Enemies take a small amount of damage. This spell Casts a number of times equal to the number of enemies that are afflicted with Burning.
Flash Freeze,Sorcery,15,Azural Shop,Each eneemy has a  50% chance to be afflicted with Frozen.
Flesh Offering,Death,10,Mortem Shop,"Target loses a large amount of Maximum Health, and your creatures gain 20% of that amount."
Flood of Darkness,Death,16,Standard Spell,Enemies with Cursed Attack their allies at random.
Flourish,Life,5,Lister Shop,Your creatures are resurrected with a small amount of Health.
Forbidden Unity,Nature,1,Standard Spell (Backer),"Your other creatures Cast the Spell Gem in their first slot. Then, those Spell Gems are sealed."
Fortify,Life,10,Life Guild,"Your creatures' Barrier buffs are set to their maximum strength. If they don't have a Barrier, they gain Shelled."
Foxfire,Sorcery,7,Standard Spell (Backer),"Target is afflcited with Burning, and all other enemies are afflicted with either Blind or Blighted."
Fracking Strike,Chaos,18,False Gods (Construct),"Target takes a small amount of damage, plus 10% for each Charge this Spell Gem is missing."
Fractal Explosion,Chaos,12,Standard Spell (Backer),Afflicts 3 random enemies with Bomb.
Fracture,Life,11,Life Guild,"Target's Barrier explodes and is removed, dealing damage to enemies equal to 200% of the strength of the Barrier."
Fragile Perfection,Chaos,10,Standard Spell (Backer),Caster gains 3 random buffs and is afflicted with 3 random debuffs.
Fragmenting Arrow,Nature,5,Standard Spell (Backer),"Target takes a moderate amount of damage that ignores 30% of the target's Defense. If the amount of damage exceeds 100% of the target's Maximum Health, all other enemies take this damage as well. 100% of the damage is based on the caster's Speed instead of Intelligence."
Freezing Sting,Nature,5,Standard Spell (Backer),"Target takes a moderate amount of damage, loses a moderate amount of Speed, and is afflicted with Frozen."
Friendly Fire,Sorcery,12,False Gods (Mindwurm),Target Casts one of its single-target spells on one of its allies.
Frost Armor,Sorcery,20,Azural Shop,Target gains Shelled and 30% Defense.
Frost Arrow,Nature,13,Apocranox Shop,Target takes a moderate amount of damage and is afflicted with Frozen. 100% of the damage is based on the caster's Speed instead of Intelligence.
Frost Enchantment,Nature,8,Standard Spell,"Target gains Protected, and a large amount of Intelligence."
Frost Hammer,Sorcery,1,Avatar of Azural,"Target takes a devastating amount of damage, is afflicted with Frozen, and is sent to the bottom of the Timeline. This spell is an Ultimate spell."
Frost Rampart,Sorcery,10,Standard Spell,Your creatures gain Protected.
Frustration,Chaos,15,False Gods (Nebodar),"Target takes a moderate amount of damage, plus 15% more damage for each debuff the caster has."
Fulmination,Sorcery,18,Standard Spell,"Target takes a small amount of damage, multiplied by battle fatigue."
Fury Swipes,Nature,10,Standard Spell,Target Attacks random enemy creatures 3 times. Each attack deals 25% normal damage.
Galaxy,Sorcery,7,Aurum Shop,"Enemies take a small amount of damage, plus 10% more damage for each buff each of your creatures have. Then, these buffs are removed."
Gem Bomb,Sorcery,1,Avatar of Aurum,"One of the caster's Ethereal Spell Gems is Sealed. Then, enemies take damage equal to 5% of the caster's highest stat for each Charge the Spell Gem has. This spell is an Ultimate spell."
Germinate,Nature,15,Standard Spell,Target is afflicted with Snared and Poisoned.
Ghostly Scimitar,Death,1,Avatar of Friden,Target takes a devastating amount of damage which also ignores 80% of the target's Defense. This spell is an Ultimate spell.
Ghoul's Grip,Death,9,Standard Spell,Target takes a large amount of damage and is afflicted with Snared.
Giant's Strength,Nature,5,Meraxis Shop,Target gains a massive amount of Attack.
Gift of the Wild,Nature,13,Standard Spell,Your creatures recover a small amount of Health and gain Repelling.
Glacier,Nature,10,Standard Spell,Target takes a large amount of damage and is afflicted with Frozen.
Glory,Life,10,Muse Shop,"Each of the caster's other, non-Ethereal Spell Gems have a 30% chance to be cast. Maximum of 3 spells can be Cast."
Godly Gin,Life,4,Gambling Dwarves,Your creatures gain Immune. This spell is a Booze Spell.
Golden Stout,Chaos,30,Gambling Dwarves,Caster Casts the Spell Gem in its Artifact's Spell Slot. This spell is a Booze Spell.
Good Fortune,Nature,1,Avatar of Meraxis,Your creatures gain all buffs. This spell does not activate on-buff effects. This spell is an Ultimate spell.
Gore Claws,Death,12,Standard Spell,"Target takes a moderate amount of damage, plus 5% more damage for every 1% Health the target is missing."
Graft Bone,Death,15,Erebyss Shop,Target creature takes a moderate amount of damage and gains Defense equal to 200% of the damage taken.
Graveyard Shift,Death,5,Standard Spell (Backer),Your creatures gain 1 stack of Zombies.
Gravity,Sorcery,10,T'mere M'rgo Shop,Enemies take a small amount of damage plus 10% for how high they are on the Timeline.
Greater Dispel,Sorcery,4,Standard Spell (Backer),Your creatures' debuffs and enemies' buffs are removed.
Guardian Force,Life,10,Perdition Shop,Your creatures Defend.
